genes	Diff1	Diff2
C11orf54	-0.018733076	-0.018733076
C14orf93	-0.509368572	-0.509368572
ALYREF	-0.508556333	-0.508556333
C21orf62	-0.17544375	-0.17544375
C16orf86	0.100902482	0.100902482
C10orf62	0.062445415	0.062445415
PTPRJ-AS1	-0.204916446	-0.204916446
C2orf92	0.13440664	0.13440664
KIAA0753	-0.325791759	-0.325791759
C9orf43	-0.222926513	-0.222926513
C1orf43	-0.049150757	-0.049150757
KIAA0930	-0.07747942	-0.07747942
C1orf216	0.081342725	0.081342725
C17orf75	-0.086942511	-0.086942511
C5orf22	-0.07182609	-0.07182609
C17orf99	0.036218745	0.036218745
KIAA0513	-0.063548175	-0.063548175
C20orf173	-0.008437113	-0.008437113
C3orf18	0.108099298	0.108099298
C18orf25	-0.144979552	-0.144979552
ERMARD	0.028991718	0.028991718
C6orf141	-0.037967621	-0.037967621
ZNF764	0.253822571	0.253822571
ZNF696	0.043179808	0.043179808
DEGS1	0.084604092	0.084604092
LINC01170	0.004912775	0.004912775
KIAA0408	0.267251058	0.267251058
C1orf159	-0.369896774	-0.369896774
C10orf143	0.052504483	0.052504483
FCGBP	0.078663643	0.078663643
C5orf15	-0.009953639	-0.009953639
MATCAP2	-0.103551728	-0.103551728
C8orf58	-0.15997626	-0.15997626
KIAA2026	0.065936688	0.065936688
C1orf109	0.487769417	0.487769417
C1orf74	-0.105951041	-0.105951041
A1CF	0.017462371	0.017462371
A2M	0.286914515	0.286914515
A3GALT2	-0.07558092	-0.07558092
C1orf174	-0.174186168	-0.174186168
A4GALT	0.622629662	0.622629662
A4GNT	0.002870244	0.002870244
C14orf180	-0.151876919	-0.151876919
SP140	1.197217118	1.197217118
ZNF788P	-0.155467901	-0.155467901
C8orf34	0.005828284	0.005828284
PRR35	-0.009430588	-0.009430588
C11orf91	0.190785212	0.190785212
C15orf48	1.363550633	1.363550633
C1orf116	0.157851596	0.157851596
AADACL4	-0.114705186	-0.114705186
C19orf38	1.173562212	1.173562212
C8orf48	-0.060652999	-0.060652999
C16orf54	1.114561648	1.114561648
LINC01089	-0.003165833	-0.003165833
C11orf87	0.007641958	0.007641958
C2orf49	-0.046112615	-0.046112615
C6orf132	-0.007525169	-0.007525169
C11orf68	-0.039956746	-0.039956746
ISCA1	0.009257462	0.009257462
C16orf89	-0.126784131	-0.126784131
C1orf50	-0.314136875	-0.314136875
KIAA0319L	-0.257882111	-0.257882111
C7orf25	-0.045373087	-0.045373087
VWA5A	0.796024034	0.796024034
KIAA1328	-0.271926458	-0.271926458
AAAS	-0.537737766	-0.537737766
AACS	-0.248039458	-0.248039458
AADAC	-0.067257348	-0.067257348
AADACL2	0.100502938	0.100502938
AADACL3	-0.037927873	-0.037927873
AAGAB	-0.074154325	-0.074154325
AAK1	-0.471015834	-0.471015834
AAMDC	-0.028078963	-0.028078963
AAMP	-0.076243865	-0.076243865
AANAT	-0.034773685	-0.034773685
AAR2	-0.072586862	-0.072586862
AARD	-0.05625664	-0.05625664
AARS1	-0.302725076	-0.302725076
AARS2	-0.191685883	-0.191685883
AARSD1	0.005018486	0.005018486
AASDH	0.259929842	0.259929842
AASDHPPT	-0.010455197	-0.010455197
AASS	0.361248141	0.361248141
AATF	-0.238774728	-0.238774728
AATK	-0.023519894	-0.023519894
ABAT	0.019034047	0.019034047
ABCA1	0.883113493	0.883113493
ABCA12	-0.353566271	-0.353566271
ABCA13	0.019431939	0.019431939
ABCA17P	0.032349139	0.032349139
ABCA2	-0.171646254	-0.171646254
ABCA3	-0.138863618	-0.138863618
ABCA4	-0.127300934	-0.127300934
ABCA5	0.284067432	0.284067432
ABCA6	0.285295293	0.285295293
ABCA7	-0.020084437	-0.020084437
ABCA8	0.175593345	0.175593345
ABCA9	0.744239166	0.744239166
ABCB10	-0.123846848	-0.123846848
ABCB11	-0.01513151	-0.01513151
ABCB1	-0.135865997	-0.135865997
ABCB4	0.099377597	0.099377597
ABCB6	-0.286079556	-0.286079556
ABCB7	-0.123798758	-0.123798758
ABCB8	-0.181674978	-0.181674978
ABCB9	-0.512111303	-0.512111303
ABCC1	-0.093159554	-0.093159554
ABCC10	-0.168727533	-0.168727533
ABCC12	-0.004807757	-0.004807757
ABCC2	0.009687668	0.009687668
ABCC3	0.713335802	0.713335802
ABCC4	-0.263598313	-0.263598313
ABCC5	0.146762062	0.146762062
ABCC6	0.007142288	0.007142288
ABCC8	-0.054480408	-0.054480408
ABCC9	-0.049313984	-0.049313984
ABCD1	0.390854736	0.390854736
ABCD2	0.418542535	0.418542535
ABCD3	-0.050631476	-0.050631476
ABCD4	0.102586808	0.102586808
ABCE1	-0.230197123	-0.230197123
ABCF1	-0.123323748	-0.123323748
ABCF2	-0.219120203	-0.219120203
ABCF3	0.143216863	0.143216863
ABCG1	1.112891829	1.112891829
ABCG2	0.0098834	0.0098834
ABCG4	0.1820604	0.1820604
ABCG5	-0.029387129	-0.029387129
ABCG8	-0.107140671	-0.107140671
ABHD1	0.395378116	0.395378116
ABHD10	0.017752276	0.017752276
ABHD11	0.002575813	0.002575813
ABHD12	0.203461996	0.203461996
ABHD12B	0.041912525	0.041912525
ABHD13	0.041523408	0.041523408
ABHD14A	-0.155919508	-0.155919508
ABHD14B	0.08563898	0.08563898
ABHD15	-0.25399633	-0.25399633
ABHD16A	0.147356666	0.147356666
ABHD16B	-0.018710165	-0.018710165
ABHD17A	-0.041077011	-0.041077011
ABHD17B	-0.026222521	-0.026222521
ABHD17C	0.019619701	0.019619701
ABHD18	0.011877493	0.011877493
ABHD2	0.012819165	0.012819165
ABHD3	0.506940874	0.506940874
ABHD4	-3.67E-06	-3.67E-06
ABHD5	-0.128286516	-0.128286516
ABHD6	0.023226262	0.023226262
ABHD8	-0.352515017	-0.352515017
ABI1	0.101344607	0.101344607
ABI2	-0.063704909	-0.063704909
ABI3	0.54958308	0.54958308
ABI3BP	0.754049743	0.754049743
ABITRAM	-0.113056636	-0.113056636
ABL1	-0.274296932	-0.274296932
ABL2	-0.403874568	-0.403874568
ABLIM1	0.256747623	0.256747623
ABLIM2	-0.304790795	-0.304790795
ABLIM3	0.048812401	0.048812401
ABR	0.029457242	0.029457242
ABRA	0.044106936	0.044106936
ABRACL	-0.059386861	-0.059386861
ABRAXAS1	0.08771025	0.08771025
ABRAXAS2	0.051989465	0.051989465
ABT1	-0.078277228	-0.078277228
ABTB1	-0.124397182	-0.124397182
ABTB2	-0.160658305	-0.160658305
ABTB3	0.184494436	0.184494436
ACAA1	0.194725411	0.194725411
ACAA2	0.108130002	0.108130002
ACACA	-0.341785899	-0.341785899
ACACB	-0.052706519	-0.052706519
ACAD10	0.128624415	0.128624415
ACAD11	0.02390772	0.02390772
ACAD8	-0.258846985	-0.258846985
ACAD9	0.067117468	0.067117468
ACADL	0.161577668	0.161577668
ACADM	0.019074115	0.019074115
ACADS	-0.023485798	-0.023485798
ACADSB	-0.051548814	-0.051548814
ACADVL	0.252172261	0.252172261
ACAN	-0.096880543	-0.096880543
ACAP1	0.930636739	0.930636739
ACAP2	-0.026131944	-0.026131944
ACAP3	-0.099049802	-0.099049802
ACAT1	-0.074434539	-0.074434539
ACAT2	-0.341070635	-0.341070635
ACBD3	-0.053874667	-0.053874667
ACBD4	-0.126371618	-0.126371618
ACBD5	0.069573826	0.069573826
ACBD6	-0.036953653	-0.036953653
ACBD7	0.113543973	0.113543973
ACCS	0.20883984	0.20883984
ACCSL	-0.13093654	-0.13093654
ACD	0.112429836	0.112429836
ACE	0.822994938	0.822994938
ACE2	0.195703357	0.195703357
ACE3P	-0.011731555	-0.011731555
ACER1	0.022415842	0.022415842
ACER2	-0.579474146	-0.579474146
ACER3	0.335152102	0.335152102
ACHE	-0.120564529	-0.120564529
ACIN1	-0.370570968	-0.370570968
ACKR1	0.938902575	0.938902575
ACKR2	0.038157993	0.038157993
ACKR3	0.914016304	0.914016304
ACKR4	-0.196762299	-0.196762299
ACLY	-0.427107168	-0.427107168
ACMSD	0.043263223	0.043263223
ACO1	-0.168050807	-0.168050807
ACO2	-0.121230696	-0.121230696
ACOD1	2.218530055	2.218530055
ACOT1	-0.091812561	-0.091812561
ACOT11	-0.026821808	-0.026821808
ACOT12	0.116026145	0.116026145
ACOT13	0.045827937	0.045827937
ACOT2	-0.14167835	-0.14167835
ACOT4	0.037224076	0.037224076
ACOT6	-0.057652609	-0.057652609
ACOT7	-0.201199457	-0.201199457
ACOT8	0.064557242	0.064557242
ACOT9	0.323001474	0.323001474
ACOX1	-0.122712048	-0.122712048
ACOX2	0.121885205	0.121885205
ACOX3	0.416260529	0.416260529
ACOXL	0.028331896	0.028331896
ACP1	-0.06129875	-0.06129875
ACP2	0.081284111	0.081284111
ACP4	-0.014010711	-0.014010711
ACP5	0.729482178	0.729482178
ACP6	-0.035416281	-0.035416281
ACP7	-0.223263757	-0.223263757
ACP3	-0.323920002	-0.323920002
ACR	-0.003452974	-0.003452974
ACRBP	0.224874132	0.224874132
ACRV1	-0.118544303	-0.118544303
ACSBG1	-0.371145253	-0.371145253
ACSF2	-0.143326181	-0.143326181
ACSF3	-0.052716167	-0.052716167
ACSL1	0.117610323	0.117610323
ACSL3	-0.314347434	-0.314347434
ACSL4	0.064242686	0.064242686
ACSL5	0.132561374	0.132561374
ACSL6	-0.269089649	-0.269089649
ACSM1	0.010508033	0.010508033
ACSM3	-0.347723191	-0.347723191
ACSM5	-0.047813525	-0.047813525
ACSS1	-0.129661275	-0.129661275
ACSS2	-0.208788352	-0.208788352
ACSS3	0.153386706	0.153386706
ACTA1	-1.913158832	-1.913158832
ACTA2	-0.320067645	-0.320067645
ACTB	0.127291761	0.127291761
ACTBL2	0.087732557	0.087732557
ACTC1	-0.183095592	-0.183095592
ACTG1	0.177171338	0.177171338
ACTG2	-0.697439575	-0.697439575
ACTL10	-0.16653501	-0.16653501
ACTL6A	-0.251151608	-0.251151608
ACTL7A	-0.014010711	-0.014010711
ACTL7B	0.027757828	0.027757828
ACTL9	-0.039974639	-0.039974639
ACTN1	-0.219437066	-0.219437066
ACTN2	-0.610580635	-0.610580635
ACTN3	-0.307723753	-0.307723753
ACTN4	-0.19868861	-0.19868861
ACTR10	0.016285665	0.016285665
ACTR1A	-0.021414741	-0.021414741
ACTR1B	-0.230317111	-0.230317111
ACTR2	0.146382103	0.146382103
ACTR3	0.319884834	0.319884834
ACTR3B	0.254862103	0.254862103
ACTR5	-0.104226417	-0.104226417
ACTR6	-0.219299972	-0.219299972
ACTR8	-0.332401129	-0.332401129
ACTRT3	-0.03245291	-0.03245291
ACVR1	-0.091278389	-0.091278389
ACVR1B	0.043336201	0.043336201
ACVR1C	-0.094074206	-0.094074206
ACVR2A	-0.134968486	-0.134968486
ACVR2B	-0.402836908	-0.402836908
ACVRL1	0.005984585	0.005984585
ACY1	-0.046719033	-0.046719033
ACY3	0.227301051	0.227301051
ACYP1	0.251749789	0.251749789
ACYP2	-0.133571043	-0.133571043
ADA	0.119013021	0.119013021
ADAD1	0.143828083	0.143828083
ADAD2	0.010508033	0.010508033
ADAL	-0.045720208	-0.045720208
ADAM10	-0.04373475	-0.04373475
ADAM11	-0.107310893	-0.107310893
ADAM12	-0.900917906	-0.900917906
ADAM15	0.372206478	0.372206478
ADAM17	0.005536198	0.005536198
ADAM18	0.008798666	0.008798666
ADAM19	0.081377296	0.081377296
ADAM1A	0.007125778	0.007125778
ADAM1B	-0.070723934	-0.070723934
ADAM2	0.007072941	0.007072941
ADAM21	-0.101461623	-0.101461623
ADAM22	-0.247829627	-0.247829627
ADAM23	-0.65213211	-0.65213211
ADAM3A	-0.022917254	-0.022917254
ADAM32	-0.135004972	-0.135004972
ADAM33	0.452945209	0.452945209
ADAM5	0.138376658	0.138376658
ADAM8	1.075779448	1.075779448
ADAM9	-0.280596243	-0.280596243
ADAMDEC1	0.090886768	0.090886768
ADAMTS1	0.155029588	0.155029588
ADAMTS10	-0.381852885	-0.381852885
ADAMTS12	-0.184512014	-0.184512014
ADAMTS13	0.240540721	0.240540721
ADAMTS14	0.650101787	0.650101787
ADAMTS15	0.905369556	0.905369556
ADAMTS16	-0.021333947	-0.021333947
ADAMTS17	0.056454292	0.056454292
ADAMTS18	-0.120899086	-0.120899086
ADAMTS19	0.301579617	0.301579617
ADAMTS2	0.861886543	0.861886543
ADAMTS20	-0.888841957	-0.888841957
ADAMTS3	0.036092234	0.036092234
ADAMTS4	-0.032546087	-0.032546087
ADAMTS5	0.551988764	0.551988764
ADAMTS6	-0.025145152	-0.025145152
ADAMTS7	0.053696093	0.053696093
ADAMTS8	-0.242816252	-0.242816252
ADAMTS9	-0.071455143	-0.071455143
ADAMTSL1	0.796916231	0.796916231
ADAMTSL2	-0.312844483	-0.312844483
ADAMTSL3	0.096328063	0.096328063
ADAMTSL4	0.130009143	0.130009143
ADAMTSL5	0.411185394	0.411185394
ADAP1	1.177396098	1.177396098
ADAP2	0.538288662	0.538288662
ADAR	0.331061622	0.331061622
ADARB1	-0.343981761	-0.343981761
ADAT1	-0.2137952	-0.2137952
ADAT2	-0.021574756	-0.021574756
ADAT3	0.216179106	0.216179106
ADCK1	-0.029024698	-0.029024698
ADCK2	0.05396738	0.05396738
ADCK5	-0.051104851	-0.051104851
ADCY1	-0.031231396	-0.031231396
ADCY10	-0.040629235	-0.040629235
ADCY2	0.069484835	0.069484835
ADCY3	-0.311833861	-0.311833861
ADCY4	0.245242234	0.245242234
ADCY5	-0.152525009	-0.152525009
ADCY6	-0.312148395	-0.312148395
ADCY7	0.051132637	0.051132637
ADCY8	-0.0059578	-0.0059578
ADCY9	-0.023666331	-0.023666331
ADCYAP1R1	-0.211832011	-0.211832011
ADD1	0.033019013	0.033019013
ADD2	0.087869965	0.087869965
ADD3	0.026771413	0.026771413
ADGB	-0.225993997	-0.225993997
ADGRA1	-0.128068786	-0.128068786
ADGRA2	-0.328807018	-0.328807018
ADGRA3	-0.443739437	-0.443739437
ADGRB1	0.12258041	0.12258041
ADGRB2	0.113670639	0.113670639
ADGRB3	-0.015241247	-0.015241247
ADGRD1	1.111659497	1.111659497
ADGRE1	1.309256	1.309256
ADGRE4P	0.45929227	0.45929227
ADGRE5	0.087652298	0.087652298
ADGRF1	0.027695974	0.027695974
ADGRF2	0.117589082	0.117589082
ADGRF3	-0.009008786	-0.009008786
ADGRF4	-0.001240865	-0.001240865
ADGRF5	0.024027395	0.024027395
ADGRG1	-0.312142039	-0.312142039
ADGRG2	0.256352794	0.256352794
ADGRG3	-0.156305578	-0.156305578
ADGRG5	0.559845161	0.559845161
ADGRG6	0.297240159	0.297240159
ADGRG7	0.017734025	0.017734025
ADGRL1	-0.310953452	-0.310953452
ADGRL2	-0.192989914	-0.192989914
ADGRL3	-0.247677549	-0.247677549
ADGRL4	-0.02789994	-0.02789994
ADGRV1	-0.0491149	-0.0491149
ADH5	-0.130341108	-0.130341108
ADH6	-0.167858807	-0.167858807
ADH7	0.508489431	0.508489431
ADHFE1	-0.089221753	-0.089221753
ADI1	-0.011338876	-0.011338876
ADIG	-0.171082131	-0.171082131
ADIPOQ	0.014714789	0.014714789
ADIPOR1	-0.006006892	-0.006006892
ADIPOR2	-0.163667758	-0.163667758
ADK	-0.406451314	-0.406451314
ADM	0.024534431	0.024534431
ADM2	0.129562302	0.129562302
ADNP	-0.226553737	-0.226553737
ADNP2	0.075100378	0.075100378
ADO	0.059500331	0.059500331
ADORA1	-0.136517244	-0.136517244
ADORA2A	0.349087953	0.349087953
ADORA2B	0.692528732	0.692528732
ADORA3	0.63709412	0.63709412
ADPGK	-0.160114208	-0.160114208
ADPRH	-0.076289987	-0.076289987
ADPRHL1	-0.297636939	-0.297636939
ADPRM	-0.011812754	-0.011812754
ADPRS	-0.181399299	-0.181399299
ADRA1A	0.024519715	0.024519715
ADRA1B	-0.08625269	-0.08625269
ADRA1D	0.061777019	0.061777019
ADRA2A	0.191595936	0.191595936
ADRA2B	-0.034371354	-0.034371354
ADRA2C	-0.003349626	-0.003349626
ADRB1	0.16826328	0.16826328
ADRB2	0.63806355	0.63806355
ADRB3	0.167310489	0.167310489
ADRM1	-0.232122068	-0.232122068
ADSL	-0.267437591	-0.267437591
ADSS2	0.009224734	0.009224734
ADSS1	0.108632887	0.108632887
ADTRP	0.27560449	0.27560449
AEBP1	-0.152262419	-0.152262419
AEBP2	-0.131343082	-0.131343082
AEN	-0.433376247	-0.433376247
AFAP1	-0.123330953	-0.123330953
AFAP1L1	-0.213636704	-0.213636704
AFAP1L2	-0.058585321	-0.058585321
AFDN	-0.475377041	-0.475377041
AFF1	0.090609646	0.090609646
AFF2	0.103915243	0.103915243
AFF3	-0.132815261	-0.132815261
AFF4	-0.1811785	-0.1811785
AFG1L	0.158749513	0.158749513
AFG3L1P	0.049645493	0.049645493
AFG3L2	-0.134276996	-0.134276996
AFM	0.001753019	0.001753019
AFMID	0.00803334	0.00803334
AFP	0.106417599	0.106417599
AFTPH	0.162201634	0.162201634
AGA	0.163987058	0.163987058
AGAP1	-0.128030733	-0.128030733
AGAP2	0.104824785	0.104824785
AGAP3	-0.320922463	-0.320922463
AGBL1	0.043063107	0.043063107
AGBL2	0.160118796	0.160118796
AGBL3	-0.140835863	-0.140835863
AGBL4	-0.004761525	-0.004761525
AGBL5	-0.070649714	-0.070649714
AGER	-0.343448824	-0.343448824
AGFG1	0.099205454	0.099205454
AGFG2	-0.14377549	-0.14377549
AGGF1	-0.037025091	-0.037025091
AGK	-0.12985807	-0.12985807
AGL	0.080681234	0.080681234
AGMAT	-0.009993594	-0.009993594
AGMO	0.378062054	0.378062054
AGO1	-0.176643342	-0.176643342
AGO2	-0.130826332	-0.130826332
AGO3	-0.193649916	-0.193649916
AGO4	0.165583142	0.165583142
AGPAT1	-0.120592466	-0.120592466
AGPAT2	-0.209049543	-0.209049543
AGPAT3	-0.345903858	-0.345903858
AGPAT4	-0.038175013	-0.038175013
AGPAT5	-0.189253727	-0.189253727
AGPS	-0.144104916	-0.144104916
AGRN	-0.207698389	-0.207698389
AGRP	-0.051741932	-0.051741932
AGT	0.06124074	0.06124074
AGTPBP1	-0.025616868	-0.025616868
AGTR1	0.637829968	0.637829968
AGTR2	0.596002322	0.596002322
AGTRAP	0.282660945	0.282660945
AGXT	0.189594189	0.189594189
AGXT2	-0.022917254	-0.022917254
AHCTF1	-0.333978639	-0.333978639
AHCY	-0.377628348	-0.377628348
AHCYL1	-0.006904567	-0.006904567
AHCYL2	-0.119710089	-0.119710089
AHDC1	-0.319431012	-0.319431012
AHI1	0.224677843	0.224677843
AHNAK	0.973341797	0.973341797
AHNAK2	0.512057665	0.512057665
AHR	0.245757869	0.245757869
AHRR	-0.306500962	-0.306500962
AHSA1	-0.169894519	-0.169894519
AHSA2P	0.056272673	0.056272673
AHSG	-0.166020294	-0.166020294
AICDA	-0.028778805	-0.028778805
AIDA	0.350977983	0.350977983
AIF1	1.102288195	1.102288195
AIF1L	-0.467793096	-0.467793096
AIFM1	-0.068776993	-0.068776993
AIFM2	-0.066928372	-0.066928372
AIFM3	-0.00463671	-0.00463671
AIG1	0.173596874	0.173596874
AIM2	1.229901198	1.229901198
AIMP1	0.039836801	0.039836801
AIMP2	-0.056119956	-0.056119956
AIP	-0.228550571	-0.228550571
AIPL1	0.001971297	0.001971297
AIRE	0.351065593	0.351065593
AIRN	-0.193187318	-0.193187318
AJAP1	-0.016302915	-0.016302915
AJM1	0.048102099	0.048102099
AJUBA	-0.111012332	-0.111012332
AK1	0.416252434	0.416252434
AK2	-0.147695497	-0.147695497
AK3	0.090422698	0.090422698
AK4	-0.105065885	-0.105065885
AK5	-0.169862375	-0.169862375
AK6	-0.086515476	-0.086515476
AK7	0.064727854	0.064727854
AK8	0.139201557	0.139201557
AK9	0.006613731	0.006613731
AKAP1	-0.396466529	-0.396466529
AKAP10	0.026778051	0.026778051
AKAP11	-0.064536679	-0.064536679
AKAP12	-0.281896504	-0.281896504
AKAP13	0.138638756	0.138638756
AKAP14	-0.043255654	-0.043255654
AKAP3	0.041035559	0.041035559
AKAP5	-0.185068966	-0.185068966
AKAP6	0.025617016	0.025617016
AKAP7	-0.23064342	-0.23064342
AKAP8	-0.199969032	-0.199969032
AKAP8L	-0.066638574	-0.066638574
AKAP9	-0.160959406	-0.160959406
AKIP1	0.06200355	0.06200355
AKIRIN1	0.051633324	0.051633324
AKIRIN2	0.104013094	0.104013094
AKNA	0.241984042	0.241984042
AKNAD1	0.060974658	0.060974658
AKR1A1	0.064651579	0.064651579
AKR1B10	0.200548213	0.200548213
AKR1B1	-0.077298968	-0.077298968
AKR1C4	0.223179614	0.223179614
AKR1C3	1.163488583	1.163488583
AKR1D1	0.03147564	0.03147564
AKR1E2	0.119348999	0.119348999
AKT1	-0.289599046	-0.289599046
AKT1S1	-0.210456043	-0.210456043
AKT2	-0.168167664	-0.168167664
AKT3	0.263922082	0.263922082
AKTIP	0.154401566	0.154401566
ALAD	-0.063618085	-0.063618085
ALAS1	0.162354465	0.162354465
ALAS2	-0.685504014	-0.685504014
ALB	0.071624379	0.071624379
ALCAM	0.011790706	0.011790706
ALDH16A1	0.203504305	0.203504305
ALDH18A1	-0.259769245	-0.259769245
ALDH1A1	1.195005176	1.195005176
ALDH1A2	1.178717547	1.178717547
ALDH1A3	0.270136698	0.270136698
ALDH1B1	0.203735414	0.203735414
ALDH1L1	0.111277898	0.111277898
ALDH1L2	-0.11383666	-0.11383666
ALDH2	-0.303228924	-0.303228924
ALDH3A1	-0.108039597	-0.108039597
ALDH3A2	0.013654374	0.013654374
ALDH3B1	0.121588628	0.121588628
ALDH3B2	0.004163827	0.004163827
ALDH4A1	-0.172139858	-0.172139858
ALDH5A1	-0.225035458	-0.225035458
ALDH6A1	-0.115697527	-0.115697527
ALDH7A1	-0.014559953	-0.014559953
ALDH8A1	0.0344868	0.0344868
ALDH9A1	-0.203153257	-0.203153257
ALDOA	0.073939868	0.073939868
ALDOB	-0.002932889	-0.002932889
ALDOC	-0.089790011	-0.089790011
ALG1	-0.115879282	-0.115879282
ALG10B	-0.204742155	-0.204742155
ALG11	-0.36856653	-0.36856653
ALG12	-0.126146279	-0.126146279
ALG13	-0.135033892	-0.135033892
ALG14	0.065653798	0.065653798
ALG2	-0.104786821	-0.104786821
ALG3	-0.084225795	-0.084225795
ALG5	-0.131220563	-0.131220563
ALG6	-0.096451509	-0.096451509
ALG8	-0.152025471	-0.152025471
ALG9	-0.090058662	-0.090058662
ALKAL1	-0.027249789	-0.027249789
ALKAL2	-0.130323009	-0.130323009
ALKBH1	-0.363047999	-0.363047999
ALKBH2	0.065802698	0.065802698
ALKBH3	-0.144697105	-0.144697105
ALKBH4	0.097149178	0.097149178
ALKBH5	-0.052794115	-0.052794115
ALKBH6	-0.14902285	-0.14902285
ALKBH7	-0.131239565	-0.131239565
ALKBH8	-0.356967885	-0.356967885
ALMS1	-0.274123778	-0.274123778
ALOX12	0.235922424	0.235922424
ALOX12B	-0.033474047	-0.033474047
ALOX15	0.931700446	0.931700446
ALOX5	0.655749734	0.655749734
ALOX5AP	1.357493251	1.357493251
ALOX15B	0.173205182	0.173205182
ALOXE3	-0.060492425	-0.060492425
ALPI	0.014145882	0.014145882
ALPK1	0.150734522	0.150734522
ALPK2	-0.137790564	-0.137790564
ALPK3	0.037693732	0.037693732
ALPL	-0.226008028	-0.226008028
ALS2	-0.231039043	-0.231039043
ALS2CL	-0.042527909	-0.042527909
ALX1	-0.028981495	-0.028981495
ALX3	-0.066596936	-0.066596936
ALX4	-0.014122121	-0.014122121
AMACR	-0.155467419	-0.155467419
AMBN	0.01220135	0.01220135
AMBP	-0.003533415	-0.003533415
